,eventmsgtype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
376,REB,4,0:28,,,Hardy REBOUND (Off:0 Def:2),,,Jaden Hardy,DAL,,,,
377,PF,4,0:28,Wallace P.FOUL (P2.PN) (C.Kirkland),,,,,Cason Wallace,OKC,Dereck Lively II,DAL,,
378,FT_MISS,4,0:28,,,MISS Lively II Free Throw 1 of 2,,,Dereck Lively II,DAL,,,,
379,REB,4,0:28,,,Mavericks Rebound,,,,,,,,
380,SUB,4,0:28,SUB: Wiggins FOR Gilgeous-Alexander,,,,,Shai Gilgeous-Alexander,OKC,Aaron Wiggins,OKC,,
381,SUB,4,0:28,SUB: Dieng FOR Holmgren,,,,,Chet Holmgren,OKC,Ousmane Dieng,OKC,,
382,SUB,4,0:28,SUB: Jay. Williams FOR Jal. Williams,,,,,Jalen Williams,OKC,Jaylin Williams,OKC,,
383,SUB,4,0:28,,,SUB: Exum FOR Washington,,,P.J. Washington,DAL,Dante Exum,DAL,,
384,SUB,4,0:28,,,SUB: Lawson FOR Jones Jr.,,,Derrick Jones Jr.,DAL,A.J. Lawson,DAL,,
385,FT_MAKE,4,0:28,,,Lively II Free Throw 2 of 2 (11 PTS),104 - 92,-12,Dereck Lively II,DAL,,,,
386,3FG_MISS_BLK,4,0:15,MISS Dieng 26' 3PT Jump Shot,,Lawson BLOCK (1 BLK),,,Ousmane Dieng,OKC,,,A.J. Lawson,DAL
387,REB,4,0:12,,,Hardy REBOUND (Off:0 Def:3),,,Jaden Hardy,DAL,,,,
