eventmsgtype,period,pctimestring,score,scoremargin,player1_name,player2_name,player3_name,homedescription,visitordescription,neutraldescription
MISS-BLOCK,1,2:38,,,Kenrich Williams,,,,MISS K. Williams 17' Pullup Jump Shot,
DREB-OREB,1,2:36,,,Nikola Vucevic,,,Vucevic REBOUND (Off:0 Def:1),,
MISS-BLOCK,1,2:29,,,Alex Caruso,,,MISS Caruso 25' 3PT Jump Shot,,
DREB-OREB,1,2:26,,,Alex Caruso,,,Caruso REBOUND (Off:1 Def:0),,
MISS-BLOCK,1,2:22,,,Coby White,,,MISS White 25' 3PT Jump Shot,,
DREB-OREB,1,2:19,,,Tre Mann,,,,Mann REBOUND (Off:0 Def:1),
FOUL,1,2:16,,,Mike Muscala,Alex Caruso,,,Muscala Offensive Charge Foul (P1) (T.Ford),
STEAL-TUROVER,1,2:16,,,Mike Muscala,,,,Muscala Offensive Foul Turnover (P2.T3),
MADE FG - ASSIST,1,2:00,30 - 23,-7,Derrick Jones Jr.,Coby White,,Jones Jr. Cutting Dunk Shot (5 PTS) (White 1 AST),,
MISS-BLOCK,1,1:44,,,Mike Muscala,,,,MISS Muscala 26' 3PT Jump Shot,
DREB-OREB,1,1:41,,,Lindy Waters III,,,,Waters III REBOUND (Off:1 Def:0),
MADE FG - ASSIST,1,1:38,33 - 23,-10,Lindy Waters III,,,,Waters III 26' 3PT Jump Shot (3 PTS),
MADE FG - ASSIST,1,1:19,33 - 25,-8,Nikola Vucevic,Alex Caruso,,Vucevic 6' Turnaround Hook Shot (2 PTS) (Caruso 1 AST),,
MISS-BLOCK,1,1:05,,,Shai Gilgeous-Alexander,,Derrick Jones Jr.,Jones Jr. BLOCK (1 BLK),MISS Gilgeous-Alexander 3' Driving Layup,
DREB-OREB,1,1:01,,,Coby White,,,White REBOUND (Off:0 Def:2),,
MISS-BLOCK,1,0:51,,,Zach LaVine,,,MISS LaVine 27' 3PT Step Back Jump Shot,,
DREB-OREB,1,0:48,,,Lindy Waters III,,,,Waters III REBOUND (Off:1 Def:1),
MISS-BLOCK,1,0:38,,,Tre Mann,,,,MISS Mann 25' 3PT Pullup Jump Shot,
DREB-OREB,1,0:35,,,Nikola Vucevic,,,Vucevic REBOUND (Off:0 Def:2),,
MADE FG - ASSIST,1,0:30,33 - 27,-6,Zach LaVine,,,LaVine 1' Driving Layup (9 PTS),,
FOUL,1,0:30,,,Tre Mann,Zach LaVine,,,Mann S.FOUL (P1.PN) (B.Adair),
MADE FREE THROW,1,0:30,33 - 28,-5,Zach LaVine,,,LaVine Free Throw 1 of 1 (10 PTS),,
MISS-BLOCK,1,0:22,,,Shai Gilgeous-Alexander,,,,MISS Gilgeous-Alexander 14' Pullup Jump Shot,
DREB-OREB,1,0:18,,,Alex Caruso,,,Caruso REBOUND (Off:1 Def:1),,
MADE FG - ASSIST,1,0:03,33 - 31,-2,Coby White,Derrick Jones Jr.,,White 25' 3PT Jump Shot (6 PTS) (Jones Jr. 1 AST),,
MISS-BLOCK,1,0:00,,,Lindy Waters III,,,,MISS Waters III 52' 3PT Pullup Jump Shot,
DREB-OREB,1,0:00,,,,,,,Thunder Rebound,
MADE FG - ASSISTMADE FREE THROW,1,0:00,33 - 31,-2,,,,,,End of 1st Period (8:37 PM EST)
MADE FG - ASSISTMISS-BLOCK,2,12:00,33 - 31,-2,,,,,,Start of 2nd Period (8:39 PM EST)
MISS-BLOCK,2,11:39,,,Ayo Dosunmu,,,MISS Dosunmu 10' Driving Floating Jump Shot,,
DREB-OREB,2,11:37,,,Aaron Wiggins,,,,Wiggins REBOUND (Off:0 Def:1),
MISS-BLOCK,2,11:23,,,Josh Giddey,,,,MISS Giddey 17' Step Back Jump Shot,
DREB-OREB,2,11:19,,,Nikola Vucevic,,,Vucevic REBOUND (Off:0 Def:3),,
MADE FG - ASSIST,2,11:03,33 - 34,1,Coby White,Alex Caruso,,White 25' 3PT Jump Shot (9 PTS) (Caruso 2 AST),,
STEAL-TUROVER,2,10:48,,,Aaron Wiggins,Alex Caruso,,Caruso STEAL (3 STL),Wiggins Bad Pass Turnover (P1.T4),
MADE FG - ASSIST,2,10:44,33 - 36,3,Alex Caruso,,,Caruso 1' Running Dunk (5 PTS),,
MADE FG - ASSIST,2,10:23,36 - 36,TIE,Lindy Waters III,Josh Giddey,,,Waters III 27' 3PT Jump Shot (6 PTS) (Giddey 2 AST),
FOUL,2,10:09,,,Aaron Wiggins,Nikola Vucevic,,,Wiggins P.FOUL (P1.T1) (T.Ford),
SUBSTITUTION,2,10:09,,,Derrick Jones Jr.,Patrick Williams,,SUB: Williams FOR Jones Jr.,,
SUBSTITUTION,2,10:09,,,Alex Caruso,Goran Dragic,,SUB: Dragic FOR Caruso,,
MADE FG - ASSIST,2,9:55,36 - 39,3,Goran Dragic,Nikola Vucevic,,Dragic 26' 3PT Jump Shot (3 PTS) (Vucevic 2 AST),,
MISS-BLOCK,2,9:47,,,Tre Mann,,,,MISS Mann 11' Driving Floating Jump Shot,
DREB-OREB,2,9:43,,,Goran Dragic,,,Dragic REBOUND (Off:0 Def:1),,
MADE FG - ASSIST,2,9:41,36 - 42,6,Coby White,Goran Dragic,,White 24' 3PT Running Jump Shot (12 PTS) (Dragic 1 AST),,
MISS-BLOCK,2,9:26,,,Darius Bazley,,,,MISS Bazley 8' Floating Jump Shot,
DREB-OREB,2,9:24,,,Patrick Williams,,,Williams REBOUND (Off:0 Def:2),,
MISS-BLOCK,2,9:08,,,Goran Dragic,,,MISS Dragic 25' 3PT Jump Shot,,
DREB-OREB,2,9:03,,,Darius Bazley,,,,Bazley REBOUND (Off:0 Def:1),
FOUL,2,9:00,,,Nikola Vucevic,Darius Bazley,,Vucevic S.FOUL (P1.T1) (T.Ford),,
MADE FREE THROW,2,9:00,37 - 42,5,Darius Bazley,,,,Bazley Free Throw 1 of 2 (1 PTS),
MADE FREE THROW,2,9:00,38 - 42,4,Darius Bazley,,,,Bazley Free Throw 2 of 2 (2 PTS),
MADE FG - ASSIST,2,8:44,38 - 44,6,Goran Dragic,Coby White,,Dragic 7' Floating Jump Shot (5 PTS) (White 2 AST),,
MADE FG - ASSIST,2,8:36,41 - 44,3,Darius Bazley,Josh Giddey,,,Bazley 26' 3PT Jump Shot (5 PTS) (Giddey 3 AST),
STEAL-TUROVER,2,8:26,,,Nikola Vucevic,Lindy Waters III,,Vucevic Lost Ball Turnover (P1.T6),Waters III STEAL (1 STL),
MADE FG - ASSIST,2,8:21,44 - 44,TIE,Tre Mann,Lindy Waters III,,,Mann 25' 3PT Jump Shot (3 PTS) (Waters III 2 AST),
MISS-BLOCK,2,8:03,,,Goran Dragic,,,MISS Dragic 3PT Jump Shot,,
DREB-OREB,2,8:01,,,Josh Giddey,,,,Giddey REBOUND (Off:1 Def:1),
FOUL,2,7:51,,,Goran Dragic,Aaron Wiggins,,Dragic S.FOUL (P1.T2) (B.Adair),,
MADE FREE THROW,2,7:51,45 - 44,-1,Aaron Wiggins,,,,Wiggins Free Throw 1 of 2 (1 PTS),
SUBSTITUTION,2,7:51,,,Coby White,Derrick Jones Jr.,,SUB: Jones Jr. FOR White,,
SUBSTITUTION,2,7:51,,,Nikola Vucevic,Zach LaVine,,SUB: LaVine FOR Vucevic,,
SUBSTITUTION,2,7:51,,,Lindy Waters III,Luguentz Dort,,,SUB: Dort FOR Waters III,
MADE FREE THROW,2,7:51,46 - 44,-2,Aaron Wiggins,,,,Wiggins Free Throw 2 of 2 (2 PTS),
MADE FG - ASSIST,2,7:30,46 - 46,TIE,Goran Dragic,Zach LaVine,,Dragic 1' Driving Layup (7 PTS) (LaVine 2 AST),,
MADE FG - ASSIST,2,7:12,48 - 46,-2,Darius Bazley,Aaron Wiggins,,,Bazley Cutting Layup Shot (7 PTS) (Wiggins 1 AST),
MADE FG - ASSIST,2,6:57,48 - 48,TIE,Patrick Williams,Goran Dragic,,Williams 15' Pullup Jump Shot (5 PTS) (Dragic 2 AST),,
MADE FG - ASSIST,2,6:43,50 - 48,-2,Josh Giddey,,,,Giddey 4' Driving Floating Jump Shot (6 PTS),
FOUL,2,6:43,,,Goran Dragic,Josh Giddey,,Dragic S.FOUL (P2.T3) (D.Taylor),,
9,2,6:43,,,,,,BULLS Timeout: Regular (Full 2 Short 0),,
MADE FREE THROW,2,6:43,51 - 48,-3,Josh Giddey,,,,Giddey Free Throw 1 of 1 (7 PTS),
MISS-BLOCK,2,6:26,,,Ayo Dosunmu,,,MISS Dosunmu 18' Pullup Jump Shot,,
DREB-OREB,2,6:23,,,Josh Giddey,,,,Giddey REBOUND (Off:1 Def:2),
MISS-BLOCK,2,6:05,,,Darius Bazley,,,,MISS Bazley 3' Driving Layup,
DREB-OREB,2,6:02,,,Zach LaVine,,,LaVine REBOUND (Off:0 Def:1),,
MISS-BLOCK,2,5:59,,,Derrick Jones Jr.,,,MISS Jones Jr. 1' Driving Layup,,
DREB-OREB,2,5:57,,,Darius Bazley,,,,Bazley REBOUND (Off:0 Def:2),
MISS-BLOCK,2,5:43,,,Luguentz Dort,,,,MISS Dort 1' Driving Layup,
DREB-OREB,2,5:40,,,Aaron Wiggins,,,,Wiggins REBOUND (Off:1 Def:1),
MISS-BLOCK,2,5:39,,,Aaron Wiggins,,Derrick Jones Jr.,Jones Jr. BLOCK (2 BLK),MISS Wiggins 8' Putback Layup,
DREB-OREB,2,5:36,,,Goran Dragic,,,Dragic REBOUND (Off:0 Def:2),,
STEAL-TUROVER,2,5:36,,,Goran Dragic,,,Dragic Out of Bounds - Bad Pass Turnover Turnover (P1.T7),,
FOUL,2,5:28,,,Goran Dragic,Darius Bazley,,Dragic S.FOUL (P3.T4) (B.Adair),,
MADE FREE THROW,2,5:28,52 - 48,-4,Darius Bazley,,,,Bazley Free Throw 1 of 2 (8 PTS),
MADE FREE THROW,2,5:28,,,Darius Bazley,,,,MISS Bazley Free Throw 2 of 2,
SUBSTITUTION,2,5:28,,,Josh Giddey,Shai Gilgeous-Alexander,,,SUB: Gilgeous-Alexander FOR Giddey,
SUBSTITUTION,2,5:28,,,Tre Mann,Jalen Williams,,,SUB: Jal. Williams FOR Mann,
DREB-OREB,2,5:25,,,Derrick Jones Jr.,,,Jones Jr. REBOUND (Off:0 Def:2),,
MISS-BLOCK,2,5:11,,,Zach LaVine,,,MISS LaVine 2' Driving Layup,,
DREB-OREB,2,5:08,,,Patrick Williams,,,Williams REBOUND (Off:1 Def:2),,
MADE FG - ASSIST,2,5:08,52 - 50,-2,Patrick Williams,,,Williams Tip Dunk Shot (7 PTS),,
FOUL,2,4:57,,,Patrick Williams,Shai Gilgeous-Alexander,,Williams S.FOUL (P2.PN) (D.Taylor),,
MADE FREE THROW,2,4:57,53 - 50,-3,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Free Throw 1 of 2 (8 PTS),
SUBSTITUTION,2,4:57,,,Goran Dragic,Coby White,,SUB: White FOR Dragic,,
SUBSTITUTION,2,4:57,,,Ayo Dosunmu,Alex Caruso,,SUB: Caruso FOR Dosunmu,,
SUBSTITUTION,2,4:57,,,Patrick Williams,Nikola Vucevic,,SUB: Vucevic FOR Williams,,
SUBSTITUTION,2,4:57,,,Aaron Wiggins,Mike Muscala,,,SUB: Muscala FOR Wiggins,
MADE FREE THROW,2,4:57,54 - 50,-4,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Free Throw 2 of 2 (9 PTS),
MADE FG - ASSIST,2,4:35,54 - 52,-2,Nikola Vucevic,Coby White,,Vucevic 10' Jump Shot (4 PTS) (White 3 AST),,
FOUL,2,4:23,,,Alex Caruso,Darius Bazley,,Caruso S.FOUL (P2.PN) (T.Ford),,
MADE FREE THROW,2,4:23,,,Darius Bazley,,,,MISS Bazley Free Throw 1 of 2,
DREB-OREB,2,4:23,,,,,,,Thunder Rebound,
MADE FREE THROW,2,4:23,55 - 52,-3,Darius Bazley,,,,Bazley Free Throw 2 of 2 (9 PTS),
MISS-BLOCK,2,4:04,,,Coby White,,,MISS White 25' 3PT Step Back Jump Shot,,
DREB-OREB,2,4:02,,,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander REBOUND (Off:0 Def:2),
MADE FG - ASSIST,2,3:57,57 - 52,-5,Darius Bazley,Shai Gilgeous-Alexander,,,Bazley 1' Running Layup (11 PTS) (Gilgeous-Alexander 2 AST),
MISS-BLOCK,2,3:42,,,Zach LaVine,,,MISS LaVine 25' 3PT Jump Shot,,
DREB-OREB,2,3:38,,,Jalen Williams,,,,Jal. Williams REBOUND (Off:1 Def:3),
MADE FG - ASSIST,2,3:33,59 - 52,-7,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Driving Dunk (11 PTS),
STEAL-TUROVER,2,3:12,,,Nikola Vucevic,Shai Gilgeous-Alexander,,Vucevic Bad Pass Turnover (P2.T8),Gilgeous-Alexander STEAL (3 STL),
